time,aver,sum,交通运输I,休闲服务I,传媒I,公用事业I,农林牧渔I,化工I,医药生物I,商业贸易I,国防军工I,家用电器I,建筑材料I,建筑装饰I,房地产I,有色金属I,机械设备I,汽车I,煤炭I,环保I,电子I,电气设备I,石油石化I,纺织服装I,综合I,美容护理I,计算机I,轻工制造I,通信I,采掘I,钢铁I,银行I,非银金融I,食品饮料I
2022-06-17,70.40491838032648,67.17763403056382,32.520325203252035,64.78873239436619,68.14814814814815,62.18487394957983,63.265306122448976,77.15877437325905,71.03448275862068,37.5,73.6842105263158,81.48148148148148,64.86486486486487,34.394904458598724,22.22222222222222,90.22556390977444,77.38359201773837,81.25,63.1578947368421,54.621848739495796,79.1891891891892,86.05442176870748,71.73913043478261,59.45945945945946,37.5,72.41379310344827,84.71760797342192,72.05882352941177,73.87387387387388,,59.09090909090909,95.23809523809524,93.02325581395348,78.26086956521739
2022-06-16,73.0125079499682,71.49774756495853,43.08943089430894,81.69014084507042,85.92592592592592,66.38655462184875,69.38775510204081,77.15877437325905,70.57471264367815,43.26923076923077,77.19298245614036,66.66666666666667,64.86486486486487,35.6687898089172,29.05982905982906,87.96992481203007,78.49223946784923,77.08333333333333,65.78947368421052,60.50420168067227,81.35135135135135,77.21088435374149,84.78260869565217,68.46846846846847,41.666666666666664,79.3103448275862,91.69435215946844,81.61764705882354,84.68468468468468,,70.45454545454545,97.61904761904762,94.18604651162791,82.6086956521739
2022-06-15,68.58172567309731,68.76838719582267,58.53658536585366,60.563380281690144,58.51851851851852,76.47058823529412,63.265306122448976,81.61559888579387,60.91954022988506,39.42307692307692,67.54385964912281,60.49382716049383,62.16216216216216,34.394904458598724,32.47863247863248,90.97744360902256,72.50554323725055,83.75,94.73684210526316,56.30252100840336,69.45945945945945,71.42857142857143,91.30434782608695,65.76576576576576,45.833333333333336,72.41379310344827,85.38205980066445,62.5,65.76576576576576,,81.81818181818181,100.0,94.18604651162791,71.30434782608695
2022-06-14,68.64532541869832,67.70577556350337,54.47154471544715,54.929577464788736,52.592592592592595,85.71428571428571,67.34693877551021,87.1866295264624,57.47126436781609,33.65384615384615,68.42105263157895,56.79012345679013,51.351351351351354,31.84713375796178,21.367521367521366,89.47368421052632,81.1529933481153,89.58333333333333,97.36842105263158,59.66386554621849,63.513513513513516,83.33333333333333,91.30434782608695,64.86486486486487,50.0,72.41379310344827,79.734219269103,55.88235294117647,62.16216216216216,,79.54545454545455,92.85714285714286,94.18604651162791,68.69565217391305
2022-06-13,72.5249099003604,69.92581381028558,41.46341463414634,54.929577464788736,61.48148148148148,78.99159663865547,68.36734693877551,89.4150417827298,59.770114942528735,32.69230769230769,92.98245614035088,64.19753086419753,54.054054054054056,31.84713375796178,15.384615384615385,95.48872180451127,87.13968957871397,88.33333333333333,97.36842105263158,63.865546218487395,79.72972972972973,89.1156462585034,91.30434782608695,63.96396396396396,50.0,79.3103448275862,87.70764119601328,61.029411764705884,78.37837837837837,,77.27272727272727,76.19047619047619,94.18604651162791,61.73913043478261
2022-06-10,75.00529997880008,74.77646792920392,71.54471544715447,60.563380281690144,71.11111111111111,89.07563025210084,69.38775510204081,88.3008356545961,59.08045977011494,41.34615384615385,86.84210526315789,69.1358024691358,71.62162162162163,41.40127388535032,20.512820512820515,93.23308270676692,83.37028824833703,82.5,97.36842105263158,72.26890756302521,84.05405405405405,90.47619047619048,95.65217391304348,63.96396396396396,54.166666666666664,82.75862068965517,85.04983388704319,61.76470588235294,77.47747747747748,,97.72727272727273,92.85714285714286,93.02325581395348,70.43478260869566
2022-06-09,64.25193465176268,65.49804766801644,65.35433070866142,41.891891891891895,57.534246575342465,80.16528925619835,63.0,78.125,49.1686460807601,34.31372549019608,70.43478260869566,52.4390243902439,59.21052631578947,36.42384105960265,21.428571428571427,90.76923076923077,68.36283185840708,57.20338983050848,97.29729729729729,59.82142857142857,67.59002770083103,79.7872340425532,95.65217391304348,50.442477876106196,46.666666666666664,75.86206896551724,75.68493150684931,53.333333333333336,63.30275229357798,,95.45454545454545,92.85714285714286,89.65517241379311,61.206896551724135
2022-06-08,82.33018056749785,81.00656728878747,86.61417322834646,77.02702702702703,76.71232876712328,87.60330578512396,70.0,90.625,68.64608076009502,56.86274509803921,96.52173913043478,79.26829268292683,71.05263157894737,39.0728476821192,26.984126984126984,93.84615384615384,91.3716814159292,91.10169491525424,97.29729729729729,84.82142857142857,94.18282548476455,95.39007092198581,95.65217391304348,66.3716814159292,70.0,93.10344827586206,93.83561643835617,81.48148148148148,85.3211009174312,,97.72727272727273,78.57142857142857,89.65517241379311,84.48275862068965
2022-06-07,84.73774720550301,82.7244106359084,85.8267716535433,74.32432432432432,80.13698630136986,82.64462809917356,72.0,93.4659090909091,76.24703087885986,58.8235294117647,98.26086956521739,84.14634146341463,75.0,46.35761589403973,42.06349206349206,93.07692307692308,91.8141592920354,91.10169491525424,94.5945945945946,87.5,96.39889196675901,96.09929078014184,95.65217391304348,76.99115044247787,73.33333333333333,93.10344827586206,94.52054794520548,87.4074074074074,85.3211009174312,,97.72727272727273,66.66666666666667,88.50574712643679,85.34482758620689
2022-06-06,85.5116079105761,83.64797666861209,85.8267716535433,82.43243243243244,86.98630136986301,87.60330578512396,78.0,94.88636363636364,63.42042755344418,58.8235294117647,98.26086956521739,84.14634146341463,80.26315789473684,48.34437086092715,32.53968253968254,96.92307692307692,95.79646017699115,96.61016949152543,97.29729729729729,91.96428571428571,97.22991689750693,97.87234042553192,95.65217391304348,81.41592920353982,73.33333333333333,93.10344827586206,96.57534246575342,91.11111111111111,88.9908256880734,,97.72727272727273,45.23809523809524,88.50574712643679,86.20689655172414
2022-06-02,82.35167669819432,81.2448538188776,88.18897637795276,81.08108108108108,80.82191780821918,88.4297520661157,77.0,88.92045454545455,52.49406175771971,57.84313725490196,97.3913043478261,84.14634146341463,71.05263157894737,47.682119205298015,33.333333333333336,96.15384615384616,93.58407079646018,97.45762711864407,94.5945945945946,91.96428571428571,95.29085872576178,97.16312056737588,89.1304347826087,70.79646017699115,80.0,93.10344827586206,92.46575342465754,81.48148148148148,87.1559633027523,,95.45454545454545,42.857142857142854,86.20689655172414,85.34482758620689
2022-06-01,82.60963026655202,81.73864564247938,88.97637795275591,82.43243243243244,85.61643835616438,92.56198347107438,80.0,90.3409090909091,54.86935866983373,71.56862745098039,94.78260869565217,85.36585365853658,75.0,51.65562913907285,41.26984126984127,87.6923076923077,91.59292035398231,94.49152542372882,97.29729729729729,90.17857142857143,92.24376731301939,95.39007092198581,95.65217391304348,74.33628318584071,73.33333333333333,82.75862068965517,89.04109589041096,82.22222222222223,87.1559633027523,,93.18181818181819,40.476190476190474,82.75862068965517,89.65517241379311
2022-05-31,82.26569217540843,81.76398905310559,89.76377952755905,85.13513513513513,85.61643835616438,92.56198347107438,90.0,92.04545454545455,53.919239904988125,73.52941176470588,90.43478260869566,79.26829268292683,68.42105263157895,56.29139072847682,43.65079365079365,92.3076923076923,90.04424778761062,92.79661016949153,97.29729729729729,91.07142857142857,89.47368421052632,93.26241134751773,93.47826086956522,74.33628318584071,80.0,79.3103448275862,86.64383561643835,81.48148148148148,85.3211009174312,,93.18181818181819,40.476190476190474,80.45977011494253,93.10344827586206
2022-05-30,77.83748925193466,78.6217116689468,89.76377952755905,85.13513513513513,85.61643835616438,91.73553719008264,79.0,88.92045454545455,42.75534441805225,73.52941176470588,91.30434782608695,78.04878048780488,73.6842105263158,65.56291390728477,43.65079365079365,91.53846153846153,84.070796460177,94.91525423728814,94.5945945945946,89.28571428571429,78.11634349030471,90.78014184397163,95.65217391304348,71.68141592920354,80.0,79.3103448275862,75.68493150684931,74.07407407407408,83.4862385321101,,90.9090909090909,26.19047619047619,72.41379310344827,75.86206896551724
2022-05-27,76.37575236457438,78.07043658696439,91.33858267716535,83.78378378378379,87.67123287671232,92.56198347107438,81.0,84.6590909090909,42.042755344418055,69.6078431372549,91.30434782608695,73.17073170731707,77.63157894736842,72.18543046357615,51.58730158730159,90.76923076923077,81.19469026548673,94.91525423728814,97.29729729729729,88.39285714285714,72.29916897506925,90.0709219858156,95.65217391304348,72.56637168141593,76.66666666666667,72.41379310344827,69.52054794520548,74.07407407407408,77.06422018348624,,90.9090909090909,40.476190476190474,77.01149425287356,60.3448275862069
