,keyword,type,count
2011-02-09,沪深300,all,533.000
2011-02-09,创业板指,all,127.000
2011-02-09,美股行情,all,588.000
2011-02-09,上证50,all,220.000
2011-02-09,中证500,all,301.000
2011-02-09,基金,all,8014.000
2011-02-09,恒生指数,all,585.000
2011-02-09,股票,all,20250.000
2011-02-09,上证,all,1571.000
2011-02-09,a股,all,947.000
2011-02-09,股市,all,5458.000
2011-02-09,道琼斯指数,all,1518.000
2011-02-09,纳斯达克指数,all,322.000
2011-02-10,恒生指数,all,687.000
2011-02-10,牛市,all,245.000
2011-02-10,纳斯达克指数,all,283.000
2011-02-10,道琼斯指数,all,850.000
2011-02-10,基金,all,9487.000
2011-02-10,美股行情,all,610.000
2011-02-10,上证指数,all,19606.000
2011-02-10,熊市,all,239.000
2011-02-10,上证,all,1422.000
2011-02-10,a股,all,917.000
2011-02-10,上证50,all,239.000
2011-02-10,创业板指,all,160.000
2011-02-10,中证500,all,302.000
2011-02-10,沪深300,all,643.000
2011-02-10,港股,all,868.000
2011-02-10,股票,all,20239.000
2011-02-10,股市,all,3886.000
2011-02-11,股票,all,20655.000
2011-02-11,上证50,all,244.000
2011-02-11,纳斯达克指数,all,289.000
2011-02-11,美股行情,all,615.000
2011-02-11,牛市,all,270.000
2011-02-11,熊市,all,238.000
2011-02-11,上证,all,1481.000
2011-02-11,中证500,all,333.000
2011-02-11,恒生指数,all,686.000
2011-02-11,道琼斯指数,all,705.000
2011-02-11,创业板指,all,190.000
2011-02-11,股市,all,3572.000
2011-02-11,沪深300,all,688.000
2011-02-11,a股,all,859.000
2011-02-11,基金,all,9768.000
2011-02-11,港股,all,815.000
2011-02-11,上证指数,all,21440.000
2011-02-12,上证,all,797.000
2011-02-12,熊市,all,245.000
2011-02-12,牛市,all,279.000
2011-02-12,股票,all,12614.000
2011-02-12,a股,all,636.000
2011-02-12,恒生指数,all,381.000
2011-02-12,基金,all,7474.000
2011-02-12,美股行情,all,409.000
2011-02-12,上证指数,all,5809.000
2011-02-12,纳斯达克指数,all,245.000
2011-02-12,沪深300,all,389.000
2011-02-12,道琼斯指数,all,531.000
2011-02-12,上证50,all,181.000
2011-02-12,中证500,all,175.000
2011-02-12,创业板指,all,57.000
2011-02-12,股市,all,2598.000
2011-02-12,港股,all,461.000
2011-02-13,港股,all,305.000
2011-02-13,美股行情,all,287.000
2011-02-13,沪深300,all,318.000
2011-02-13,上证50,all,162.000
2011-02-13,中证500,all,165.000
2011-02-13,创业板指,all,118.000
2011-02-13,上证指数,all,2365.000
2011-02-13,股票,all,10733.000
2011-02-13,a股,all,530.000
2011-02-13,道琼斯指数,all,388.000
2011-02-13,恒生指数,all,319.000
2011-02-13,纳斯达克指数,all,239.000
2011-02-13,股市,all,2012.000
2011-02-13,熊市,all,257.000
2011-02-13,牛市,all,261.000
2011-02-13,基金,all,5551.000
2011-02-13,上证,all,433.000
2011-02-14,牛市,all,270.000
2011-02-14,创业板指,all,151.000
2011-02-14,股市,all,3835.000
2011-02-14,股票,all,22333.000
2011-02-14,上证50,all,293.000
2011-02-14,中证500,all,342.000
2011-02-14,沪深300,all,894.000
2011-02-14,熊市,all,244.000
2011-02-14,美股行情,all,473.000
2011-02-14,道琼斯指数,all,499.000
2011-02-14,上证指数,all,23294.000
2011-02-14,基金,all,10340.000
2011-02-14,纳斯达克指数,all,253.000
2011-02-14,港股,all,667.000
2011-02-14,上证,all,1548.000
2011-02-14,恒生指数,all,580.000
2011-02-14,a股,all,809.000
2011-02-15,基金,all,11343.000
2011-02-15,a股,all,924.000
2011-02-15,上证指数,all,27314.000
2011-02-15,恒生指数,all,580.000
2011-02-15,上证50,all,246.000
2011-02-15,创业板指,all,154.000
2011-02-15,中证500,all,336.000
2011-02-15,沪深300,all,851.000
2011-02-15,道琼斯指数,all,644.000
2011-02-15,熊市,all,251.000
2011-02-15,港股,all,659.000
2011-02-15,上证,all,1665.000
2011-02-15,股市,all,4066.000
2011-02-15,股票,all,23620.000
2011-02-15,牛市,all,283.000
2011-02-15,纳斯达克指数,all,300.000
2011-02-15,美股行情,all,595.000
2011-02-16,熊市,all,225.000
2011-02-16,上证指数,all,25686.000
2011-02-16,a股,all,859.000
2011-02-16,恒生指数,all,579.000
2011-02-16,上证,all,1567.000
2011-02-16,港股,all,632.000
